step,train_loss,ema_loss,val_metric,grad_norm,tok_per_s,elapsed_s
1,0.478515625,0.478515625,nan,1.14498972778356,1603.6932577907069,1.1174206733703613
2,0.66796875,0.48798828125,nan,2.1660357414775566,6063.93742185819,0.1695268154144287
3,0.64453125,0.4958154296875,nan,2.7187232212343377,8395.75332197615,0.15674591064453125
4,0.8203125,0.512040283203125,nan,3.888963505475147,8075.696621520646,0.13720178604125977
5,0.609375,0.5169070190429688,nan,0.9396291130819415,3540.306332568411,0.48696351051330566
6,0.73046875,0.5275851055908203,nan,1.7183412556955846,8866.39971066186,0.1529369354248047
7,0.83203125,0.5428074128112793,nan,2.7432500576418297,9033.518127467849,0.15409278869628906
8,0.69140625,0.5502373546707153,nan,3.460772645933928,8535.291107664787,0.1452791690826416
9,0.671875,0.5563192369371796,nan,0.8666477345526269,7150.712769814131,0.19466590881347656
10,0.61328125,0.5591673375903206,nan,1.5388518632085342,8409.69774043942,0.1526808738708496
11,0.71484375,0.5669511582108046,nan,2.1457503261088258,8882.918628123005,0.15130162239074707
12,0.71875,0.5745411003002643,nan,2.7121664913182024,8832.190683139372,0.1277146339416504
13,0.6875,0.5801890452852511,nan,1.1549639307022634,6449.624320758049,0.1835765838623047
14,0.8515625,0.5937577180209885,nan,1.606339637693293,9826.617223822197,0.19620180130004883
15,0.80859375,0.6044995196199391,nan,2.3067494609174743,9335.982518763827,0.1580979824066162
16,0.53125,0.6008370436389422,nan,2.838266379473356,8643.79830216861,0.1513223648071289
17,0.55078125,0.5983342539569951,nan,0.9234079766835153,4483.582650960611,0.45677757263183594
18,0.609375,0.5988862912591454,nan,1.460494498691336,8045.954680860815,0.14566326141357422
19,0.61328125,0.599606039196188,nan,2.0325285979815972,8187.988720085197,0.14753317832946777
20,0.703125,0.6047819872363787,nan,2.630187468665574,8468.25728750048,0.14265036582946777
21,0.466796875,0.5978827316245596,nan,0.7826518016837759,6757.804873838363,0.19059443473815918
22,0.76953125,0.6064651575433316,nan,1.8000518395273104,8714.949575330384,0.1321866512298584
23,0.546875,0.603485649666165,nan,2.27900922390984,9294.191648644659,0.15665698051452637
